ID;Nome;Nome da Mae;Nome do Pai;Sexo;Data de Nascimento
0;MIRLA AMORA BONIFACIO;HAROLDO ALMEIDA BONIFACIO;FRANCISCA;F;08-04-8990 00:00:00
1;JOANA FERREIRA LIMA;LUCIO SIFVA LIMA;SEBASTIANA FERREIRA MACIEL;F;26-05-8003 00:00:00
2;ANA EUFRASIO OLIVEIRA;ROBERTO;ANTONIA EUFRASIO SILVA;F;15-04-1499 00:00:00
3;TERTSAANDRODE NISCIMEMTX;JOSELI S N;MARIA ANDRADE CASTRO;F;23-08-2005 00:00:00
4;ANA S S;FRANCISCO;ADAILZA;F;12-06-2903 00:00:00
5;ROBERT SULVA FREITAS;VICENTE SOUZA FREITAS;LUCINEIDE SILVA SOUZA;M;29-07-8757 00:00:00
6;LUIS CRUZ SANTOS;GERALDO MILTON SANTOS;MARIA CRUZ SOUSA;M;24-02-2701 00:00:00
7;ANALIASILVA FERREIPA;JOSE A F;NECI SILVA VIEIRA;F;06-08-5014 00:00:00
8;FRANCISCO ELIA MARQUES;FRANCIHJO S M;ROBERTA;M;04-09-2000 00:00:00
9;FRANCISCO;JOSE J T;ELENILZA S S;M;20-06-2064 00:00:00
10;JACKSON VALERIA AMANCIO;JOSE REMIGIO AMANCIO;MARHA EALERYAPINHEIHO;M;22-08-1709 00:00:00
11;AMANDA LIMAACWSOO;RICARDO SILVA ANISIO;MARIA LA;F;24-03-1995 00:00:00
12;JOANS NASCIMENTO AMARILIO;LUIS SOUSA AMARILIO;RAIGUVDANAEUIZENTR LIGX;M;79-03-1991 00:00:00
13;MATEUS FERREIRA ASSIS;JOAO FA;RRANUISCZ FERREIRA NASCIMENTO;M;15-03-1996 00:00:00
14;DEYSANE MARIA GOMES;JOSE COSTA GOMES;ANA MARIA OLIVEIRA;F;01-00-2066 00:00:00
15;MARIA;JOSE A S;MARIA SANTO SILVA;F;05-08-1927 00:00:00
16;MARIA ELENITA ARAUJO;ANANIAS S A;VALDIRA ELENITA BRAZ;F;08-08-2000 00:00:00
17;LORENA VIEIRA PAULO;SEBASTIAO;FRANMISCD VIEIRA ZOLMIRA;F;08-04-2013 00:00:00
18;JOAO FREITAS PINHO;IZIDOROFEYREIRA B P;JAMILE FREITAS CABPOS;M;41-07-1998 00:00:00
19;IGOR B N;THIAGO;MARIA;M;16-07-7197 00:00:00
20;ANA CORREIA ARAUJO;PEDRO VITAL ARAUJO;MARIA C S;F;13-03-1002 00:00:00
21;PEDRO FREITAS SERGIO;ANGELO SOUZA SERGIO;FRANCISTA F U;M;06-07-2994 00:00:00
22;VALDENICE S S;LUIS S S;MARIA SILVA MENEZES;F;04-07-1996 00:00:00
23;TALES S F;FRANCISCO COSTA FREIRE;EDINEIDE SANTOS DANTAS;M;56-08-1997 00:00:00
