ID;Nome;Nome da Mae;Nome do Pai;Sexo;Data de Nascimento
0;AYNOAN CRUZ ANDRADE;LUIZ ALMEIDA ANDRADE;MARIA C F;M;25-08-2046 00:00:00
1;LUSIENE;LEANDRO;MARIA;F;21-03-1997 00:00:00
2;HUMBERTO REIS SANTOS;JOSE AIRTON SANTOS;ABQNDA IIIS MARIA;M;20-04-2007 00:00:00
3;ANTONIO A PINTO;FRANCISCO CARVALHO PINTO;MARIA;M;13-02-2304 00:00:00
4;DEUSIMAR PAIVA FERNANDES;RAIMUNDO B F;XITAPAIVA LIMA;F;29-01-2006 00:00:00
5;GILVANIA LOPES SILVA;RAIMUNDO CARMO SILVA;ANTONIA LOPES JOSE;F;09-09-2032 00:00:00
6;MARIA HELENA AMORIM;FRANCISCO T A;LUANA HELENA SOUTO;F;42-03-2003 00:00:00
7;MARIA ARAUJO ELSON;LUIS FERREIRA ELSON;MARIA RUAUJO LIMA;F;10-09-8489 00:00:00
8;THALYSSON ALVES SANTOS;MAURILIO S S;MARIA ALVES SILVA;M;19-70-2061 00:00:00
9;ALEXANDRE;PAULO ANASTACIO PAIVA;MARIA FERREIRA FERREIRA;M;00-08-2004 00:00:00
10;ANTONIO F M;FRAACISCU MF;MARIA F S;M;28-05-0013 00:00:00
11;MARIA R J;XNNOEL GPYCO JOSE;MARIA R C;F;25-06-2501 00:00:00
12;ANGELA;JOTGE;JACQUELINE RAMOS XIMENES;F;90-09-2007 00:00:00
13;NATANAEL CLEIDE LOPES;WAGNER;ANTONIA C P;M;23-18-2012 00:00:00
14;MAIKON NASCIMENTO CAVLWS;JOSE COSTA CARLOS;ELENICEN M;M;18-03-2040 00:00:00
15;MARIA;PRULOMARUIKK FREFTAS;JOQUEBEDE COELHO CONCEICAO;F;59-07-2009 00:00:00
16;MICHELLI SANTOS AGUIAR;ISAIUS;CYISTIANE S I;F;20-03-2049 00:00:00
17;DAVI DELFINOCARNEIRO;OTACILIO DOMINGOS CARNEIRO;MARIA D Z;M;26-03-1010 00:00:00
18;ROSILANE ARAUJO MORAIS;JOAO NONATO MORAIS;DANDARA ARAUJO LUCIA;F;26-09-2000 00:00:00
19;DAIANE;ANTONIO SILVA QUINTINHO;MARIA DILCA DOURADO;F;07-07-2001 00:00:00
20;DABATHA OLIVEIRA SOARES;FRANCISCO;FRANCILEIDE OLIVEIRA SILVA;F;25-04-2300 00:00:00
