ID;Nome;Nome da Mae;Nome do Pai;Sexo;Data de Nascimento;Ônibus
0;LARA;JOSE FILHO SOUSA;MARIA G S;F;19004586;077, 055, 372, 166, 286
1;ALEXSANDRA S G;PAULO M G;FRANCISCA SOUSA SANTOS;F;14107980;422, 143, 187, 672, 759, 743, 182
2;RICARDO SILVA PEREIRA;JOSE ALVES PEREIRA;JACIRA SILVA SILVA;M;192001;196, 296, 964, 440, 895, 284
3;ROBERTO COSTA AMARANTE;NOSE FURTADO ZMARANTE;MARIA COSTA LOURDES;M;2562044;882, 189
4;LEIDIANA FATIMA GIRAO;JOAO;MARIA FATIMA COSTA;F;861957;414, 490, 216, 725, 733
5;ANA ASSIS ALMEIDA;DANIEL;ALDENORA ASSIS MARIA;F;7112064;746, 363, 815, 507, 587, 625, 516, 542, 643, 005
6;MGRIA ALVRS FERREIRA;PAULO MARIA FERREIRA;VALDELIOE YLVES ZASRNOENTO;F;2991959;039, 811, 102, 729, 529, 757, 845, 211, 978
7;CARLOS;FRANCISCO MENDES NASCIMENTO;MARIA MARIA BRITO;M;2412935;809, 509, 724
8;XEHALDO POSE SANTOH;FRANCISCO JESUS SANTOS;ANA J V;M;2741946;485, 125, 211, 402, 957, 677, 118, 410, 133
9;MARIA EUFRASIO MIZAEL;MANOEL;MAWIA EUFRASIO SOARES;F;681987;461, 507, 224, 476
10;HELLEN MARTINS ALVES;RAIMUNDO CABRAL ALVES;RAIMUNDA MARTINS TEIXEIRA;F;851274;501
11;DOUGLAS;FRANCISCO OWIVEIKA PEGEIRA;HELENA SOUSA SOUZA;M;24707017;793, 378, 420, 287, 234, 687
12;KAYLA GONZAGA SILVA;JOIO SANTOS SILVA;MARIA GONZAGA MARIA;F;513942;179, 019, 199, 974, 762, 089, 606
13;NEIRYLANE VIEIRA BARBOSA;ELY RABELO BARBOSA;RAIMUNDA V B;F;2791954;078, 201
14;ELLEN LIMA BARBOSA;RAIMUNDO SILVA BARBOSA;SILVIA LIMA JUCA;F;20101909;778, 715, 002, 899, 985, 344, 120, 427, 094
15;MARIA VERISSIMO AUGUSTO;LAURIANO LIMA AUGUSTO;VIVIANE VERISSIMO SOUSA;F;2621984;993
16;JAIR SILVAFEGO;OTACILIO REGO SILVA;FRANCISCA SILVA MARIA;M;985173;816
17;ANTONIA;FRANCISCO PEREIRA IVAN;CALDENICE X S;F;2912002;242, 761
18;SUSETE FERREIRA GALDINO;JOSE ALMEIDA GALDINO;MARLI FERREIRA SILVA;F;1962007;707, 202, 586, 729
19;TANIA SALES PEREIRA;RAIMUNDO;ANA;F;2991940;276, 233, 561, 062, 907, 496, 225, 808, 135
20;FRANCISCO FATIMA ASSIS;JOSE SANTOS ASSIS;MARGA FATIMA VBAWNA;M;152718;193
21;ERIVANIA SANTOS CRISPIM;FELICIO DOMINGO CRISPIM;MARIA SANTOS SILVA;F;2161993;794, 771, 805
22;REBECA SILVA HONORATO;ANTONIO SOUSA HONORATO;ROSA SILVA BRAZ;F;581392;730, 631, 458, 423, 554, 828, 217
23;GABRIEL SILVA SABOIA;FRANCISCO PEREIRA SABOIA;MARIA SILVA QUEIROZ;M;0162896;575
24;MARIA;DANILO BRITO ALMEIDA;RAIMUNDA SOUSA LUCAS;F;919971;590, 050, 451, 455, 049
25;FRANCILEIDE BRAGA MOTA;FRANCISCO SLLVA MOTA;ALBERVANIA BRAGA PEREIRA;F;1661967;790, 049, 704, 727, 631, 526
26;JACKSON DIOLINDO SANTOS;JOAO S S;MKRIA;M;2061956;604, 835, 352, 756, 750, 034, 667, 893, 732
27;JOAO DALVA NAVES;OSAMAN OLIVEIRA NAVES;CLEISSE;M;34101260;037, 118, 354, 669, 384, 485
28;TAINARA S S;JOSE BERNARDO SOUSA;MARIA S B;F;1531971;810, 837, 359, 169, 233, 319, 474, 897
29;ROGERIO SILVA ANDRE;FRANCISCO VALE ANDRE;ANA SILVA LIMA;M;4161967;973, 540, 246, 030, 783, 244, 488, 201
30;AFRELLA RO;FRANCILCO POLIDORIO URLANDO;FRANCISCA RODRIGUES PEREIRA;F;540676;097, 589, 624, 159, 221, 797, 112, 339
31;MARIA JOSE SILVA;ERINALDO;MARIA JOSE MARIA;F;6431938;068, 980, 543, 937, 672, 918, 248, 010, 778, 755
32;ANTONIO;CLEILSON SATURNINO AIRES;REJANE LIMA FATIMA;M;8551636;213
33;CARMELITA L S;EDUARDO;MAULUCIA LIMA OLILEIRW;F;2647990;736, 935, 717, 464
34;IARA SILVA NASCIMENTO;ANTONIO ALVES NASCIMENTO;ANB;F;2688961;019
35;PEDRO ROCHA SILVA;JOAO;EURIDES ROCHA SILVA;M;561690;143, 715
36;MARIA B B;LUIZ;LEILA OLIVEIRA NERY;F;9821974;987
37;RYAN ROSARIO SILVA;DANIEP CIMASILVA;MARIA ROSARIO FREITAS;M;1772212;353, 594, 542, 197, 352
38;KAREN MENEZES RIBEIRO;JOAO S R;MARIA MENEZES REGIA;F;781983;157, 085, 969, 858, 749, 970, 138, 015, 648
39;FRANMISCA;LEANDRO S S;ANTONIA;F;2429940;697
40;JEANE PRICILA MAURICIO;JOAO DOMINGOS MAURICIO;VERA PRICILA FRANCISCA;F;1082007;961, 219, 733, 004, 609, 325, 836
41;FRANCISCO ANJOS LOZIMAR;RAIMUMDO CHAGAS LOZIMAR;MARIA ANJOS BATISTA;M;12152952;903, 580, 293, 822, 460, 973, 965
42;JOAO LIMA SPUZA;RENATO NONATO SPUZA;MARIA LIMA ANDRADE;M;2461936;872, 900, 126, 130, 304, 306
43;QOSE F P;ANTONIO;ANTONIA FRANCO SILVA;M;2982000;030, 021, 885, 894
44;MARIA ALMEIDA FILHO;ANTONIO BARBOSA FILHO;JORDANIA ALMEIDA RODRIGUES;F;2031980;368, 708, 153, 038, 907, 415, 939, 297, 387, 341
45;RICHARD;JOAO;FRANCISCDDUARTE MARIA;M;7612004;852, 251, 479, 179, 316
46;MARCOS CONCEICAO DAMASCENO;JOSE;LUQSCNA CONWEICAO REINATDO;M;1641013;077, 284, 880, 453, 631, 920
47;FABIANE SOUSA LIMA;PAULO OLIVEIRA LIMA;MARIANA SOUSA SILVA;F;361972;119
48;ALESANDRO SILVA BARROS;HORLANDO MESQUITA BARROS;MARIA SILMX MADPA;M;9502814;673, 692, 551, 434, 885, 326, 013
49;MARIA C D;FRANCISCO MOUJA DIAS;MARIA COSTA SANTOS;F;6371976;212
50;RAIAN;FRANCISCO ALENCAR FREITAS;ANTONIA M A;M;1012051;271, 041, 636, 104, 660
51;DANIEL SILVA BERNARDINO;FRANCISCO NASCIMENTO BERNARDINO;MARIA SILVA SILVA;M;2400019;087, 816, 723, 600, 728, 795
52;FRAXCESCA SRLVA WANDGON;JOSE;CELIA SILVA AMELIA;F;321947;736, 763, 045, 954, 514, 783, 080, 037
53;KERLA COSTA DANTAS;FRANOISCONOCRATODSNTAS;AUCINEIDE COSTA ALICE;F;1411931;344, 152, 211, 190, 325, 803, 619, 809, 880, 261
54;MARIA MARINA SANTOS;RABMUNDO;CECILIA;M;682075;348, 838, 876, 849
55;ESTEFANY BRITO MORAIS;JOSE C M;FAUSTA BRITO MOURA;F;1531996;618, 821, 254, 052, 198, 924
56;KAREN LIMA SILVA;ADAUTO SANTOS SILVA;VALDIZA LIMA MOREIRA;F;2441996;327, 066, 329
57;DOMINGOS SOUZA SILVA;FRANCISCO SOARES SILVA;FRANCISCA;M;1065990;754, 616, 244, 913, 857, 844, 477, 894
58;JOSE FERREIRA SANTOS;JOAO SOUSA SANTOS;MARIA FERREIRA SILVA;M;2941974;316, 135, 944, 921, 968, 151, 128, 046, 411, 538
59;ISAURA LIMA SOUSA;MARHOS ARNUDO SOUSA;ROSA LIMA SILVA;F;5931964;843, 066, 074, 066
60;MARIA OLIVEIRA SARAIVA;FRANCISCO F S;MARILIA OLIVEIRA OLIVEIRA;F;555997;896
61;MATEUS;RAIMUNDO;MICHELE S S;M;1091881;683
62;DERLYANY LIMA OLIVEIRA;JOSE;MARIA;F;446084;396, 345
63;FLAVIA BONIFACIO ROBERTO;JOAO FERREIRA ROBERTO;BENEDITA BONIFACIO FERREIRA;F;161962;850, 802, 754, 169, 297, 179, 428
64;INPRIDEANUNCIADA SILVA;JQSCMLIGO FERREGRA SELVA;FRANCISCA ANUNCIYDA ALMEIDA;F;2762000;918, 002, 176, 598, 202, 053
65;LIVIA COSTA OLIVEIRA;WELLINGTON SILVA OLIVEIRA;GERACINDA COSTA ESTEVES;F;181982;059, 188, 560
66;CLEMTOG;JOAQUIM ARAUJO FERREIRA;BIATRIZ SILVA PAIVA;M;2123990;250, 178
67;HAROLDO;GABRIEL ARAUJO GERVASIO;RITL NOBRE SILJD;M;823937;443, 515, 721, 808, 043, 942, 111, 737
68;VELSTN R J;MAIMUNDOSOUAA OOAQUIM;LUZIA RODRIGUES RODRIGUES;M;1161912;283, 324, 283, 328, 614, 078, 043
69;KADNA SILVA GALDINO;RAIMUNDW;FRANCISCA SILVA CARVALHO;F;190989;714, 068, 958, 911, 380, 330, 398
70;JOSE M C;FRAHCMQCO LESSA CHAGAS;ANA;M;1032009;557, 851, 375, 705
71;FERNANDO DARLENE SILVESTRE;JOSO FERNANDES SILVESQRE;CLBUDIANA DARLEOE IIEIRO;M;0677935;009, 023, 042, 327, 662, 980
72;LUANA DIOGENES SANTOS;RAIMUNDO FILHO SANTOS;MAWIA DIMGGNES SILPA;F;1352068;720, 376, 387, 517, 272, 457, 519, 799, 759
73;JSAO;CICERO;MANOELLH S S;M;26011784;940, 749, 792, 513, 486, 679
74;ANA SANTOS SOARES;RAFAEL SEBASTIAO SOARES;LUIZU S M;F;5111993;829, 201, 556, 345, 345
75;ELIZEU;JOSE SANTANA BARBOSA;MARDA;M;3551917;107, 282, 081
76;FRANCISCA SILVA FIRYINN;ANTONFO SANTOO FIRMINO;MARILU SILVA HELENA;F;2781916;929, 909, 248, 675, 647
