ID;Nome;Nome da Mae;Nome do Pai;Sexo;Data de Nascimento;Ônibus
0;LUCAS;EDIBERTO FARIAS MATOS;MFRIA BARAOSFEDREUFA;M;271988;893, 529, 744, 718, 709
1;PIULO Q F;ANTONIO;MARIA QUEIROZ SANTOS;M;161956;912, 223, 689, 333, 754, 537, 779, 203, 569
2;FRANCISCO S S;JEOVA OLIVEIRA SILVA;VERANEIDE SANTOS SILVA;M;2471938;397, 213, 767
3;GERANIO SILVA SOUZA;GONZAGA;ELIZABETH SILVA VALE;M;1101993;574, 583, 726, 184
4;VALBERLANIA COSTA FREITAS;OSMAR NASCIMENTO FREITAS;ANA COSTA NASCIMENTO;F;101067;010, 152
5;ROSA F Z;JOSIMAR SILVA SILVA;MARIA FAUSTINO NASCIMENTO;F;7181946;687, 068, 582, 976, 908, 931, 655, 163
6;ANA SANTOS PEREIRA;ORLANDO SILVA PEREIRA;MARIA;F;1821969;096, 427, 627, 344, 284
7;GUILHERME SILVA SOBRINHO;JOAO S S;AURINETE SILVA NOBRE;M;281947;627, 105, 735, 693, 052, 591, 096
8;DAVID RODRIGUES ARAUJO;ANASTACIO S A;ANTONMETA RODRIGUCS RUFINO;M;1481936;024, 301, 966, 969, 346, 735, 026
9;DONIEL SANTOSNETO;JOSE SILVA NETO;CARMELA;M;8812106;858, 487, 696
10;MARIA SILVA SANTOS;DANIEL SANTOS SILVA;QELMIBA SILEK MARLERE;F;1877006;116, 309, 173, 454, 790, 551, 248, 884, 093
11;JOAO JOVGE GOIS;JOSE SILVA GOIS;MARIA JORGE MOURA;M;2761983;731, 515, 619
12;PATRICIA SANTANA TEIXEIRA;JOSE C T;IRACEMA SANTANA NUNES;F;721807;530, 105, 637, 002, 157, 723
13;SALATIEL RODRIGUES ALBUQUERQUE;JAIR BERNARDINO ALBUQUERQUE;TEREZINHA R C;M;681976;097, 667, 510, 425, 787
14;FRANCISCO MORENO ROCHA;FRANCISCO G R;ADRIANA MORENO CARMO;M;1632394;568, 450, 300, 497, 908
15;WESLEY SILVA SANTIAGO;ARTUR GOMES SANTIAGO;MARIA SILVA RIBEIRO;M;2492002;746, 555, 566, 161, 509
16;RAIMUNDO RODRIGUES PAULINO;TIGUEL PEDRO PAULINO;MARIA RODRIGUES LIMA;M;2081963;877, 213, 349
17;MARMA PLNDIRANASCIUENTO;ANTONIO AAVES NASCIPENTO;MARIA;F;871938;874, 214, 787, 234, 067, 484, 175
18;MARIA SOUSA SILVA;FRANCISCO;MARIA SOUSA SOUSA;F;13601972;678
19;CARLOS SANTOS BEZERRA;JOAO LOPES BEZERRA;LIZIANE SANTOS PAULA;M;1281947;263, 399, 538, 745, 332, 808, 817, 760, 417
20;RAIMUNDO S A;PEDRO J A;ALAIDE SILVA MIRANDA;M;922004;049, 914, 303, 560, 625
21;MAURICIO MOURA SOUSA;MARCOS MACIEL SOUSA;MARIA MOURA SILVA;M;2342613;057, 773, 626
22;ELENICE GOMES RODRIGUES;TELEDONIO DWNHARODGIGUEB;VIRGINIA GOMES SANTOS;F;131241;536, 270, 077, 167, 426, 068, 310, 982, 249
23;THATYLA;FRANCISCO;CLAUDIA MARIA SILVA;F;311970;386, 070, 042
24;ANTONIO L S;JOSE RAIMUNDO SOUSA;MARIA;M;1471940;354, 978, 549
25;MZRFA;GERALDO PEREIRA MENDONCA;MARIA BARROSA EDITA;F;2625958;253, 096
26;ISAQUICLPRIANO BANDEIRA;RAIMUNDO OLIVEIRA BANDEIRA;MARIA C S;M;6852014;153, 290, 978, 809, 284, 543
27;ANTONIO E R;VICENTE ADEMIR RODRIGUES;ANTONIA;M;631988;255, 085, 439, 327, 126, 365, 460
28;FRANCISCO FERREIRA CENNARDO;FRANCISCO SANTOS BERNARDO;JURACI;M;232001;685, 972, 011, 493, 417, 726, 067, 766
29;MARIA AR;MANUEL DIAS RODRIGUES;MARIA AMORIM SOUZA;F;21809302;578, 571, 695, 193, 994, 492, 339, 523, 071
30;RAQUEL MORAIS ALBINO;FRANCISCO;BENEDITA;F;2687002;247, 603, 791, 588, 416, 491, 302, 346
31;FRANCISCO SILVA MOTA;FLAVIO PAIVJ MOTA;TERESA S M;M;552003;574, 682, 075, 869
32;SUIANE FIGUEREDO SILVA;JOSE;ANTONIA FIGUEREDO MENDONCA;F;2611992;401, 778, 028, 623, 081
33;JOSE COSTA NASCIMENTO;CORLOS;MARIA;M;534952;989, 246, 309, 401, 525, 432
34;VALDECY RIBEIRO FERREIRA;JOSE W F;MSWIL RIBEIRO COSDA;M;0041976;843, 562, 446, 858
35;DENIZA V V;FRANCISCO;MARIA VIEIRA NOGUEIRA;F;232004;736, 492, 048, 178, 414, 789, 399, 258, 820, 722
36;JOAQ;JOSE GABRIEL PAULA;SANDRA SILVA SILVA;M;7442006;755, 402, 264, 034, 433, 238, 978, 287
37;EMANUELA SOCORRO SOUSA;CLAURIVAN SILVA SOUSA;MINELVINA SOCORRO OLIVEIRA;F;932014;462, 601, 500, 754, 517, 820, 952, 083, 738, 049
38;ESTELA F L;PAULO RONRIGUEL LUIZ;ROSANITA FERNANDES SANTOS;F;2681928;423, 521
39;LETICIA ARRUDA FILHO;JOAQUIM ANDRADE FILHO;ROCICLEIDE A S;F;1371967;402, 309, 069, 028, 038, 990, 340
40;VARLEY S O;LUIZ SEBASTIAO OLIVEIRA;MARIA;M;301987;860
41;ANDERSON JOSE EUDES;DAVID;MARIA J C;M;972238;999, 860, 478, 361
42;ANTONEO;ANTONIO S E;FRANCISCA MARTINS SILVA;M;1101978;376, 449
43;MARTA S O;GILVAN GOMES OLIVEIRA;GLAUCE SOARES GLORIA;F;3221979;820, 617, 270, 267, 854, 453, 251, 417, 410, 891
44;RUAN GOMES IVAN;MARCELO SILVA IVAN;ANA GOMES TANTOS;M;932028;525, 889, 136, 852, 144, 579, 320
45;MAYNA ALEMIDA ROCHA;ANTONIO CARMO ROCHA;MARIA ALEMIDA GOLCALVES;F;741984;223, 721, 583, 476, 685, 325
46;BRUNA MARIA NETO;FRANCISCO MARTINS NETO;IVONETE MARIA NASCIMENTO;F;1763951;831, 618, 663, 544, 109, 233, 541
47;WILLIAN EDILANE LIMA;FRANCISCO;MARINETE EDILANE IASSIA;M;1777359;064, 625, 973, 484
48;BRENA RICARDO SILVA;MARCOS D S;MIRIAN R J;F;711995;428, 391, 293, 696, 408, 059, 448
49;NICOLAS ALBUQUERQUE BARBOSA;JOSE MACHADO BARBOSA;MARIA XDBQQUERQUE YILVA;M;1241957;359, 352, 256, 904, 936, 286
50;JOEL RODRIGUES FARIAS;ALFLODIZIO SANTOS FARIAS;FRANCISCA RODRIGUES FERREIRA;M;331963;680, 369, 269, 086, 316, 199, 535, 036
51;ANA SILVA ALISSON;GERARDO S A;FRANCISCA;F;1541983;750, 217, 922, 379, 753, 211, 482
52;SEBASTIAO SOUSA SILVA;MANORL BARBWSA SILVA;JOVINA SOUSA SILVA;M;2371490;215, 880, 341
53;JOSE NASCIMENTO LIMA;CARLOS;MARIA NASCIMENTO SILVA;M;9841569;393, 377, 242, 355, 914, 657, 398, 209, 463
54;RAPHAELA LIMA SABINO;FRANCISCO M S;ANA LIMA ALEXANDRE;F;7641954;179, 621, 548, 525
55;MARIA BERNARDO LAURENTINO;MARCOS AGOSTINHO LAURENTINO;MARLUCIA BERNARDO OLVVEIRA;F;1462001;881
56;MARCOS A N;FRANCISCO S N;GERUSIA ASSIS CONCEICAO;M;1981936;723, 037, 713, 421, 705
57;RAIMUNDA;ZACARIAS ROSA ALBERTO;MARMA LWDUIZA LIMA;F;1911947;004, 759, 831, 861, 103
58;CLAUDIA OLIVEIRA SILVA;ADRIANO;RAIMUNDA OLIVEIRA ALVES;F;1421089;326, 735, 125, 504
59;JLEX VITORIO ALVGS;JOAO G A;RAIMUNDA VITORIA FERREIRA;M;2012023;159, 163, 513, 343, 059, 491, 544, 004, 326
60;GLEICINARA SANTOS LIMA;ADALBERTO BENEDITO LIMA;SILVANIA SANTOS PAIVA;F;391958;420, 013, 354
61;WLADMIR IVANILDA SOUZA;STEVEV;MARYA IPAUILDA MEITOSA;M;27104450;294, 203, 415, 891, 684, 822, 571
62;ANTONIO RODRIGUET DSSTRO;WOACIR LIMA CASTRO;MARIZ RODRIGUESFELIX;M;192052;155, 013, 042, 416, 271, 965, 171
63;FRANCISCA AURILANE HOLANDA;ALONCO;MARIA;F;222024;979, 437, 497, 908
64;FRANCISCO SILVA TORRES;SEBASTIJO TORRES SILVA;FRANCISCA SILVA MENDONCA;M;2141989;351, 023, 589, 877, 517, 209, 125, 260, 835
65;ANTONIO B S;MILTON F S;FRANCISCA BENTO TAVARES;M;1461166;081, 275
66;FRANCISCA O F;JOAO SOUZA FERREIRA;CAMILF ONEIDE GZRETE;F;141635;453, 872, 663, 343, 230, 211
67;AJOKVANDFO OLIVEIRA XOBRITHO;ANTONIO SILVA SOBRINHO;DANIELA OLIVEIRA SOCORRO;M;17196956;813, 343, 476, 929, 663, 883, 375, 607
68;FRANYISCA;RAIMUNDO NASCIMENTO FERREIRA;COSMA M F;F;5882011;144, 577, 770, 298, 131, 227, 649, 215, 180, 275
69;LUANA BERNARDO PINHEIRO;JOAO SOUSA PINHEIRO;GISLENE BERNARDO LOPES;F;6721797;951
70;ANA F S;LUIS SILVA SALES;MA FREIRE DUARTE;F;692007;011
71;VANDIMEIRE BEZERRA FRANCISCO;ANTONIO FREITAS FRANCISCO;MARIA;F;11401002;778
72;LARA FERREIRA MENESES;RICARDO S M;MARIA FERREIRA MENEZES;F;2600961;121, 389, 925
73;GLEICE;JOSE SOUSA FELICIO;ANTONIA LEDA CONCEICAO;F;15110945;171, 992, 494, 709, 436, 642, 154, 579, 482
74;ALEFFY GOMES SOUSA;RAIMUNDO MOREIRA SOUSA;MARIA GOMES BARROS;M;9102713;047, 372, 013, 472, 857, 083, 830
75;JOSE FATIMA RAIMUNDO;ANTONEO S K;EUGENILDA FATIMA ARAUJO;M;1331158;404, 109, 876, 060, 533, 827
